Brand_Name,Course_ID,link,Course_Title,Price,Students,Ratings
IMOH,AH2768,https://imoh.co.uk/course/AH2768,Cyber Security Fundamentals,193.52,910,3.8
Stonebridge College,KA2501,https://stonebridgecollege.co.uk/course/KA2501,UI UX Design Professional,392.05,3142,3.7
Centre of Excellence,FP8086,https://centreofexcellence.co.uk/course/FP8086,Financial Accounting Course,86.44,4476,4.2
Apex,EY3008,https://apex.co.uk/course/EY3008,Full Stack Development,173.52,2969,4.6
Apex,US5935,https://apex.co.uk/course/US5935,Full Stack Development,20.09,819,
Alpha,PS0220,https://alpha.co.uk/course/PS0220,Artificial Intelligence Basics,469.89,2483,3.8
IMOH,JL8136,,Cyber Security Fundamentals,99.87,4605,4.4
Stonebridge College,QN2429,https://stonebridgecollege.co.uk/course/QN2429,UI UX Design Professional,13.46,2954,3.9
FutureLearn,RV7203,https://futurelearn.co.uk/course/RV7203,Healthcare Administration,,2097,3.9
IMOH,FY8363,https://imoh.co.uk/course/FY8363,Cloud Computing Essentials,189.52,239,3.6
NextGen,GG5258,https://nextgen.co.uk/course/GG5258,Machine Learning Foundations,313.01,1949,4.3
Alpha,FZ5001,,Project Management Professional,300.28,3252,4.8
Centre of Excellence,PK5425,https://centreofexcellence.co.uk/course/PK5425,Level 3 Data Analytics,343.35,2938,3.6
IMOH,RN2614,https://imoh.co.uk/course/RN2614,Cloud Computing Essentials,474.95,2413,
StudyHub,YW2519,https://studyhub.co.uk/course/YW2519,Web Development Diploma,198.85,2662,3.8
Global Edulink,PD7575,,Level 3 Data Analytics,128.1,1528,4.4
Stonebridge College,IA9883,https://stonebridgecollege.co.uk/course/IA9883,Digital Marketing Diploma,418.27,84,4.9
FutureLearn,WY0407,https://futurelearn.co.uk/course/WY0407,Python Programming Bootcamp,136.8,3993,4.6
NextGen,RY1569,https://nextgen.co.uk/course/RY1569,UI UX Design Professional,218.33,2663,4.3
FutureLearn,SK6384,https://futurelearn.co.uk/course/SK6384,Artificial Intelligence Basics,100.58,4848,4.8
FutureLearn,BA5507,https://futurelearn.co.uk/course/BA5507,Digital Marketing Diploma,230.38,4347,4.8
FutureLearn,BA3524,https://futurelearn.co.uk/course/BA3524,UI UX Design Professional,302.97,4961,4.0
NextGen,SW5244,https://nextgen.co.uk/course/SW5244,Business Management Essentials,289.52,1325,3.6
IMOH,RJ4806,https://imoh.co.uk/course/RJ4806,Business Management Essentials,169.41,387,
StudyHub,KI8214,https://studyhub.co.uk/course/KI8214,Leadership and Communication,297.51,4909,4.4
NextGen,HG9485,https://nextgen.co.uk/course/HG9485,Digital Marketing Diploma,145.24,2112,3.7
Global Edulink,VZ9814,https://globaledulink.co.uk/course/VZ9814,Graphic Design Masterclass,17.66,2618,
Centre of Excellence,XE0397,https://centreofexcellence.co.uk/course/XE0397,Web Development Diploma,107.37,1545,3.5
Centre of Excellence,SS7641,https://centreofexcellence.co.uk/course/SS7641,Graphic Design Masterclass,107.43,441,4.6
StudyHub,PO7055,https://studyhub.co.uk/course/PO7055,Excel for Data Analysis,387.92,3611,4.0
NextGen,BN8008,https://nextgen.co.uk/course/BN8008,Machine Learning Foundations,66.78,250,4.4
IMOH,YO5006,https://imoh.co.uk/course/YO5006,Entrepreneurship and Innovation,172.14,4648,4.0
Global Edulink,IG6321,,Web Development Diploma,169.34,2781,4.5
New Skills Academy,IT0499,,Cyber Security Fundamentals,,2740,
Global Edulink,FG9883,https://globaledulink.co.uk/course/FG9883,Project Management Professional,285.03,4543,4.2
New Skills Academy,VS6960,https://newskillsacademy.co.uk/course/VS6960,UI UX Design Professional,266.14,1534,3.8
Apex,YC8287,https://apex.co.uk/course/YC8287,Python Programming Bootcamp,448.92,613,4.3
Apex,HF3685,https://apex.co.uk/course/HF3685,Healthcare Administration,350.8,1728,4.6
StudyHub,CL2076,https://studyhub.co.uk/course/CL2076,Healthcare Administration,,1772,4.5
NextGen,TO4008,https://nextgen.co.uk/course/TO4008,Python Programming Bootcamp,,2779,4.7
Global Edulink,AJ5403,https://globaledulink.co.uk/course/AJ5403,Digital Marketing Diploma,320.37,2743,4.2
Alpha,FG1784,https://alpha.co.uk/course/FG1784,Full Stack Development,,1413,4.8
NextGen,YG1714,https://nextgen.co.uk/course/YG1714,Project Management Professional,274.28,1579,3.7
